id,predicted_price
2591820310,366685.38
7974200820,890066.7
7701450110,1104325.9
9522300010,2144959.0
9510861140,758230.44
1761300310,236662.36
7732410120,815652.56
7010701383,627885.6
291310170,422557.22
4232901990,569369.4
6840701125,614532.1
3971700580,396859.3
4202400078,241259.9
6064800090,352277.0
2626119028,233094.86
3303980660,1061117.5
862000020,871163.06
2386000070,1011628.94
1138000450,382361.47
1775800420,457087.22
2291401425,409858.7
2025770560,1039100.75
3525069037,677159.7
9324800450,560770.7
8080400136,536151.3
8651540040,522403.8
9407001790,245949.16
1773101530,167256.14
9432900250,333349.62
1794500695,607216.4
2220069003,334637.0
923000120,475067.8
5728000060,544419.2
16000200,268372.34
1926059094,460954.78
6672900220,1049642.2
3629860060,776848.25
1822069109,428377.3
6675500105,380952.03
249000180,1915828.5
226059065,490183.88
396100110,270144.84
9264450460,332096.38
7853361210,402684.22
9474700020,312832.38
421000455,227179.83
3755200220,437965.03
7960100075,479887.8
9477100490,398859.1
9138100350,834907.75
1624049275,498893.8
2770606890,552171.25
1157200189,448200.0
2770601800,536481.9
9301300805,579940.25
2325069032,1249320.6
1021079099,323005.03
7215730040,749372.2
1853200080,446958.0
3224600340,698440.94
3222049120,426279.53
2113700025,285414.62
7893207925,219440.0
3586501085,567385.1
8024200010,427614.72
7116500705,168761.17
1598600209,316600.9
7204200025,1046693.9
4206901505,574458.7
2937300440,921003.4
7205000180,310328.47
8718500665,377047.7
5318101765,969378.06
4122700020,989762.3
8078700020,525372.9
3303980680,958257.6
8924100372,1210584.4
2781270210,209767.22
519000043,549548.25
3225069301,1557998.8
151000075,777590.1
2297400020,440412.9
6617500085,632888.06
104510180,239281.17
3528900060,992472.56
3345100286,553907.06
1226039130,435239.75
8712100720,819449.7
3037200010,365094.03
3626039268,435597.72
104510230,238052.22
5112800060,427528.7
6072400280,649342.2
5317100570,1212810.8
9528102993,557103.75
2919201095,491021.03
6181400920,248077.69
185000161,237049.94
8691400010,774598.1
3345700165,529135.25
6151800486,254899.53
4340000080,1328603.0
4136960010,608023.56
3634100030,333245.78
1624059224,1054938.8
2788400090,268695.03
9828200762,468167.2
7524400250,563133.25
3528000290,735915.25
5700003630,2147895.0
2720069019,308140.44
7227501170,240479.7
2397101270,613446.56
6792100090,728759.4
2770602265,529506.44
3971700937,283091.12
422049203,220270.72
3076500830,298788.34
1423400260,280522.28
9161100795,451873.5
3126049052,491445.53
5100401468,408565.22
514500235,449810.94
1423200170,186194.1
1402100070,395271.66
624110020,746282.25
2407000145,197940.95
1890000225,908323.25
1320069271,329010.7
5490700085,355291.22
263000155,459349.12
3726800201,389253.94
5153200358,287151.34
2725079018,824450.3
7165700200,260542.06
9429000170,594717.25
8718500075,373034.28
1760650950,307186.84
1068000559,1263824.6
4113800500,641877.4
4077800507,532755.2
2725069150,715761.4
4008400035,662218.7
7016310270,412681.75
1432701230,223639.84
3278606050,346443.97
2473350710,406107.56
2185000685,169172.16
7792000025,380197.03
6868200029,471163.12
624069003,772696.06
